Sender X,Sender Y,Pkt Num,Data Unpacked,Dest X,Dest Y,Time Sent,Time Received,In Flight Time
0,1,8,0171088,3,1,64,70,6
1,2,11,0a4572b,1,1,112,120,8
2,0,10,0a9704a,2,2,96,102,6
3,0,5,0a98e65,3,3,16,24,8
3,0,1,0d65a61,1,0,1,9,8
0,2,7,0ec9f07,2,2,48,53,5
0,3,3,0f51583,0,0,3,7,4
3,0,7,0f69267,1,0,48,53,5
0,1,4,0fcc884,0,3,4,10,6
0,0,0,1360c00,1,0,0,4,4
1,3,1,146e1a1,3,3,1,9,8
3,2,2,1955b62,2,2,2,11,9
2,2,0,1b29340,3,2,0,4,4
3,1,11,1c5c2eb,3,0,112,120,8
1,2,8,1e12528,0,2,64,70,6
3,1,0,1e298e0,0,1,0,4,4
3,2,5,1f72765,3,1,16,24,8
1,3,10,1fb01aa,1,1,96,102,6
0,2,4,1fd5304,0,0,4,10,6
3,2,7,219bb67,1,2,48,53,5
0,0,7,223ac07,2,0,48,53,5
2,1,7,22dd2c7,0,1,48,53,5
1,3,5,23d37a5,1,2,16,24,8
1,1,4,29d2ea4,1,3,4,10,6
2,1,1,2a978c1,0,1,1,9,8
2,2,6,2c24b46,3,2,32,36,4
1,0,8,2c5f028,0,0,64,70,6
0,3,6,2c9d586,1,3,32,36,4
1,3,11,2cd3dab,1,2,112,120,8
3,0,8,2f95468,2,0,64,70,6
3,0,3,2ff7a63,3,1,3,7,4
0,2,2,315eb02,3,2,2,11,9
3,1,6,3216ce6,0,1,32,36,4
2,0,9,324d449,2,1,80,84,4
1,1,2,3261ea2,0,1,2,11,9
1,0,10,32cbc2a,1,2,96,102,6
1,2,5,3480325,1,1,16,24,8
2,0,3,34e0a43,2,1,3,7,4
3,2,9,38b6769,3,3,80,84,4
1,3,0,39bf9a0,2,3,0,4,4
2,1,6,3b2b0c6,3,1,32,36,4
0,0,1,3fd2601,2,0,1,9,8
2,3,11,3feedcb,2,2,112,120,8
2,1,5,4331ec5,2,0,16,24,8
0,3,0,440c580,1,3,0,4,4
3,3,8,449b3e8,2,3,64,70,6
1,0,4,46a6a24,1,2,4,10,6
1,2,2,4999122,0,2,2,11,9
3,3,6,4ac9fe6,0,3,32,36,4
2,3,8,4c31dc8,1,3,64,70,6
0,3,5,4d6cb85,0,2,16,24,8
3,2,6,4da4166,0,2,32,36,4
0,0,8,4e43408,3,0,64,70,6
2,3,5,4e80bc5,2,2,16,24,8
3,1,3,4ed08e3,3,2,3,7,4
2,2,1,5089f41,0,2,1,9,8
1,0,9,5298a29,1,1,80,84,4
0,1,3,56e6a83,0,2,3,7,4
3,3,10,577a1ea,3,1,96,102,6
3,2,11,579996b,3,1,112,120,8
2,2,5,5912f45,2,1,16,24,8
2,0,8,5a9f848,1,0,64,70,6
1,3,6,5d34da6,2,3,32,36,4
2,1,8,5d60ec8,1,1,64,70,6
2,0,0,5dab040,3,0,0,4,4
2,2,4,5e93b44,2,0,4,10,6
0,2,5,60a5b05,0,1,16,24,8
0,1,0,6176a80,1,1,0,4,4
3,3,2,61c7de2,2,3,2,11,9
2,2,10,651c94a,2,0,96,102,6
1,3,7,65575a7,3,3,48,53,5
1,0,0,662a420,2,0,0,4,4
0,0,9,668ba09,0,1,80,84,4
3,0,11,66e4a6b,3,3,112,120,8
1,1,7,69220a7,3,1,48,53,5
0,2,11,6ab030b,0,1,112,120,8
2,2,7,6ae3947,0,2,48,53,5
2,0,4,6bfc844,2,2,4,10,6
2,2,2,7124b42,1,2,2,11,9
0,3,7,714c587,2,3,48,53,5
3,3,3,72811e3,3,0,3,7,4
3,1,5,73c42e5,3,0,16,24,8
3,3,4,76b85e4,3,1,4,10,6
0,3,4,76c9584,0,1,4,10,6
3,3,9,779c9e9,3,0,80,84,4
1,1,5,79842a5,1,0,16,24,8
3,1,9,7b8dee9,3,2,80,84,4
2,1,11,7b970cb,2,0,112,120,8
2,3,6,810b5c6,3,3,32,36,4
2,0,5,816bc45,2,3,16,24,8
2,1,3,84d1ac3,2,2,3,7,4
0,0,4,8541804,0,2,4,10,6
3,0,9,8646e69,3,1,80,84,4
3,0,2,869c662,2,0,2,11,9
1,1,11,86d76ab,1,0,112,120,8
0,1,7,8746287,2,1,48,53,5
0,0,11,891cc0b,0,3,112,120,8
3,2,4,895a364,3,0,4,10,6
2,2,3,8a3ab43,2,3,3,7,4
2,1,0,8ae38c0,3,1,0,4,4
0,1,10,8c3828a,0,3,96,102,6
1,1,1,8c6b6a1,3,1,1,9,8
0,1,2,8f6d282,3,1,2,11,9
2,3,2,91a0fc2,1,3,2,11,9
2,2,11,93afb4b,2,1,112,120,8
0,0,10,952660a,0,2,96,102,6
2,3,1,95273c1,0,3,1,9,8
0,0,5,959dc05,0,3,16,24,8
1,0,3,9729e23,1,1,3,7,4
0,1,11,9834a8b,0,0,112,120,8
3,2,0,9a7a360,0,2,0,4,4
0,2,0,9d36100,1,2,0,4,4
2,0,2,9e31842,1,0,2,11,9
2,2,8,a194148,1,2,64,70,6
1,3,3,a1f77a3,1,0,3,7,4
0,1,9,a264e89,0,2,80,84,4
3,0,4,a295e64,3,2,4,10,6
3,1,8,a3e98e8,2,1,64,70,6
1,0,5,a46a825,1,3,16,24,8
2,0,1,a699e41,0,0,1,9,8
3,2,10,a920b6a,3,0,96,102,6
2,1,4,aa140c4,2,3,4,10,6
3,2,1,aa4eb61,1,2,1,9,8
0,3,1,ac8e981,2,3,1,9,8
0,3,10,ad5f58a,0,1,96,102,6
1,1,8,ad638a8,0,1,64,70,6
0,2,8,b00d308,3,2,64,70,6
1,1,6,b080aa6,2,1,32,36,4
2,3,0,b3fb5c0,3,3,0,4,4
2,0,7,b481a47,0,0,48,53,5
1,1,9,b5278a9,1,2,80,84,4
3,0,6,b5b5066,0,0,32,36,4
1,2,7,b67cf27,3,2,48,53,5
1,0,6,b6f0c26,2,0,32,36,4
0,2,6,bc36706,1,2,32,36,4
3,1,7,bdfd4e7,1,1,48,53,5
3,3,7,be257e7,1,3,48,53,5
0,3,11,bfffb8b,0,2,112,120,8
1,1,3,c28b8a3,1,2,3,7,4
2,1,9,c4478c9,2,2,80,84,4
1,2,10,c75ad2a,1,0,96,102,6
3,1,2,c788ee2,2,1,2,11,9
0,2,9,c8d1309,0,3,80,84,4
0,1,1,c968881,2,1,1,9,8
3,2,3,cbceb63,3,3,3,7,4
3,3,0,ce6c7e0,0,3,0,4,4
0,0,2,cea7e02,3,0,2,11,9
0,0,6,cf26406,1,0,32,36,4
2,1,10,d0036ca,2,3,96,102,6
3,3,11,d01e5eb,3,2,112,120,8
3,0,10,d1d3a6a,3,2,96,102,6
3,3,1,d238fe1,1,3,1,9,8
0,3,9,d628b89,0,0,80,84,4
0,1,5,d62ac85,0,0,16,24,8
0,3,2,d669b82,3,3,2,11,9
2,1,2,d7280c2,1,1,2,11,9
3,3,5,d73d5e5,3,2,16,24,8
1,0,7,d7c4827,3,0,48,53,5
1,0,2,d846e22,0,0,2,11,9
2,3,9,da057c9,2,0,80,84,4
3,1,1,da3cee1,1,1,1,9,8
1,3,9,dc4c7a9,1,0,80,84,4
3,2,8,dd10968,2,2,64,70,6
1,3,4,de627a4,1,1,4,10,6
1,0,1,e05ba21,3,0,1,9,8
1,3,8,e14bda8,0,3,64,70,6
1,2,4,e228724,1,0,4,10,6
1,1,10,e47beaa,1,3,96,102,6
1,2,3,e624123,1,3,3,7,4
0,2,10,e63e10a,0,0,96,102,6
1,3,2,e9237a2,0,3,2,11,9
1,0,11,ebc842b,1,3,112,120,8
2,2,9,ec81b49,2,3,80,84,4
0,2,1,ed75701,2,2,1,9,8
0,3,8,ef71d88,3,3,64,70,6
1,1,0,ef906a0,2,1,0,4,4
2,0,6,efb3e46,3,0,32,36,4
3,1,10,f0066ea,3,3,96,102,6
0,2,3,f0a2703,0,3,3,7,4
1,2,0,f0a4f20,2,2,0,4,4
1,2,6,f3a8b26,2,2,32,36,4
2,3,7,f3e13c7,0,3,48,53,5
2,3,3,f407fc3,2,0,3,7,4
0,1,6,f57c486,1,1,32,36,4
1,2,1,f66cb21,3,2,1,9,8
2,3,10,f78d1ca,2,1,96,102,6
1,2,9,f838b29,1,3,80,84,4
3,0,0,f84c060,0,0,0,4,4
3,1,4,f9810e4,3,3,4,10,6
2,0,11,fa4b24b,2,3,112,120,8
0,0,3,fbc4803,0,1,3,7,4
2,3,4,fe37dc4,2,1,4,10,6
